,year,region,latitude,longitude,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured,licenses
147,2002,Eastern,23.2883307307, 50.1478302439,,,,85035
148,2002,Hail,27.400845724, 41.4406960508,,,,5070
149,2002,Jazan,17.2072313962, 42.6525807422,,,,5254
150,2002,Madinah,24.927534539, 39.4918237173,,,,10494
151,2002,Makkah,21.628962766, 41.2636898334,,,,88593
152,2002,Najran,18.4511003068, 46.8688495726,,,,5117
153,2002,Northern Boarder,30.197074783, 41.8171186952,,,,2268
154,2002,Riyadh,23.0814341634, 45.5857512766,,,,25423
155,2002,Tabouk,27.90165499, 37.2598581394,,,,8794
156,2003,Al-Baha,20.1484058503, 41.4665484892,,,,3616
157,2003,Al-Jouf,29.9677445762, 39.5570371172,,,,3852
158,2003,Al-Qaseem,26.1967063704, 43.3429998455,,,,10666
159,2003,Assir,19.1387847401, 42.941470036,,,,15693
160,2003,Eastern,23.2883307307, 50.1478302439,,,,82697
161,2003,Hail,27.400845724, 41.4406960508,,,,3861
162,2003,Jazan,17.2072313962, 42.6525807422,,,,5220
163,2003,Madinah,24.927534539, 39.4918237173,,,,12920
164,2003,Makkah,21.628962766, 41.2636898334,,,,74236
165,2003,Najran,18.4511003068, 46.8688495726,,,,4443
166,2003,Northern Boarder,30.197074783, 41.8171186952,,,,1705
167,2003,Riyadh,23.0814341634, 45.5857512766,,,,26076
168,2003,Tabouk,27.90165499, 37.2598581394,,,,9873
169,2004,Al-Baha,20.1484058503, 41.4665484892,,,,3410
170,2004,Al-Jouf,29.9677445762, 39.5570371172,,,,4601
171,2004,Al-Qaseem,26.1967063704, 43.3429998455,,,,9390
172,2004,Assir,19.1387847401, 42.941470036,,,,17947
173,2004,Eastern,23.2883307307, 50.1478302439,,,,84984
174,2004,Hail,27.400845724, 41.4406960508,,,,8656
175,2004,Jazan,17.2072313962, 42.6525807422,,,,5016
176,2004,Madinah,24.927534539, 39.4918237173,,,,10556
177,2004,Makkah,21.628962766, 41.2636898334,,,,86636
178,2004,Najran,18.4511003068, 46.8688495726,,,,4609
179,2004,Northern Boarder,30.197074783, 41.8171186952,,,,1922
180,2004,Riyadh,23.0814341634, 45.5857512766,,,,23479
181,2004,Tabouk,27.90165499, 37.2598581394,,,,7532
182,2005,Al-Baha,20.1484058503, 41.4665484892,,,,2698
183,2005,Al-Jouf,29.9677445762, 39.5570371172,,,,3558
184,2005,Al-Qaseem,26.1967063704, 43.3429998455,,,,10480
185,2005,Assir,19.1387847401, 42.941470036,,,,18565
186,2005,Eastern,23.2883307307, 50.1478302439,,,,82505
187,2005,Hail,27.400845724, 41.4406960508,,,,16247
188,2005,Jazan,17.2072313962, 42.6525807422,,,,5502
189,2005,Madinah,24.927534539, 39.4918237173,,,,10210
190,2005,Makkah,21.628962766, 41.2636898334,,,,65099
191,2005,Najran,18.4511003068, 46.8688495726,,,,4779
192,2005,Northern Boarder,30.197074783, 41.8171186952,,,,1804
193,2005,Riyadh,23.0814341634, 45.5857512766,,,,23245
194,2005,Tabouk,27.90165499, 37.2598581394,,,,6511
195,2006,Al-Baha,20.1484058503, 41.4665484892,,,,3593
196,2006,Al-Jouf,29.9677445762, 39.5570371172,,,,4846
197,2006,Al-Qaseem,26.1967063704, 43.3429998455,,,,12142
198,2006,Assir,19.1387847401, 42.941470036,,,,20330
199,2006,Eastern,23.2883307307, 50.1478302439,,,,79517
200,2006,Hail,27.400845724, 41.4406960508,,,,8166
201,2006,Jazan,17.2072313962, 42.6525807422,,,,7955
202,2006,Madinah,24.927534539, 39.4918237173,,,,11204
203,2006,Makkah,21.628962766, 41.2636898334,,,,66967
204,2006,Najran,18.4511003068, 46.8688495726,,,,5897
205,2006,Northern Boarder,30.197074783, 41.8171186952,,,,2573
206,2006,Riyadh,23.0814341634, 45.5857512766,,,,36059
207,2006,Tabouk,27.90165499, 37.2598581394,,,,8259
208,2007,Al-Baha,20.1484058503, 41.4665484892,,,,997
209,2007,Al-Jouf,29.9677445762, 39.5570371172,,,,9097
210,2007,Al-Qaseem,26.1967063704, 43.3429998455,,,,25174
211,2007,Assir,19.1387847401, 42.941470036,,,,10835
212,2007,Eastern,23.2883307307, 50.1478302439,,,,106511
213,2007,Hail,27.400845724, 41.4406960508,,,,4021
214,2007,Jazan,17.2072313962, 42.6525807422,,,,12634
215,2007,Madinah,24.927534539, 39.4918237173,,,,12174
216,2007,Makkah,21.628962766, 41.2636898334,,,,91902
217,2007,Najran,18.4511003068, 46.8688495726,,,,7226
218,2007,Northern Boarder,30.197074783, 41.8171186952,,,,3479
219,2007,Riyadh,23.0814341634, 45.5857512766,,,,36261
220,2007,Tabouk,27.90165499, 37.2598581394,,,,11045
221,2008,Al-Baha,20.1484058503, 41.4665484892,,,,5418
222,2008,Al-Jouf,29.9677445762, 39.5570371172,,,,10929
223,2008,Al-Qaseem,26.1967063704, 43.3429998455,,,,22236
224,2008,Assir,19.1387847401, 42.941470036,,,,18800
225,2008,Eastern,23.2883307307, 50.1478302439,,,,104626
226,2008,Hail,27.400845724, 41.4406960508,,,,7413
227,2008,Jazan,17.2072313962, 42.6525807422,,,,11346
228,2008,Madinah,24.927534539, 39.4918237173,,,,9194
229,2008,Makkah,21.628962766, 41.2636898334,,,,77013
230,2008,Najran,18.4511003068, 46.8688495726,,,,7938
231,2008,Northern Boarder,30.197074783, 41.8171186952,,,,3519
232,2008,Riyadh,23.0814341634, 45.5857512766,,,,36798
233,2008,Tabouk,27.90165499, 37.2598581394,,,,14928
234,2009,Al-Baha,20.1484058503, 41.4665484892,,,,9815
235,2009,Al-Jouf,29.9677445762, 39.5570371172,,,,10567
236,2009,Al-Qaseem,26.1967063704, 43.3429998455,,,,27571
237,2009,Assir,19.1387847401, 42.941470036,,,,21582
238,2009,Eastern,23.2883307307, 50.1478302439,,,,108544
239,2009,Hail,27.400845724, 41.4406960508,,,,7282
240,2009,Jazan,17.2072313962, 42.6525807422,,,,9437
241,2009,Madinah,24.927534539, 39.4918237173,,,,11574
242,2009,Makkah,21.628962766, 41.2636898334,,,,112045
243,2009,Najran,18.4511003068, 46.8688495726,,,,6771
244,2009,Northern Boarder,30.197074783, 41.8171186952,,,,3649
245,2009,Riyadh,23.0814341634, 45.5857512766,,,,38014
246,2009,Tabouk,27.90165499, 37.2598581394,,,,9424
247,2010,Al-Baha,20.1484058503, 41.4665484892,,,,7076
248,2010,Al-Jouf,29.9677445762, 39.5570371172,,,,10937
249,2010,Al-Qaseem,26.1967063704, 43.3429998455,,,,36737
250,2010,Assir,19.1387847401, 42.941470036,,,,21835
251,2010,Eastern,23.2883307307, 50.1478302439,,,,110295
252,2010,Hail,27.400845724, 41.4406960508,,,,7637
253,2010,Jazan,17.2072313962, 42.6525807422,,,,12270
254,2010,Madinah,24.927534539, 39.4918237173,,,,15045
255,2010,Makkah,21.628962766, 41.2636898334,,,,113531
256,2010,Najran,18.4511003068, 46.8688495726,,,,6360
257,2010,Northern Boarder,30.197074783, 41.8171186952,,,,3064
258,2010,Riyadh,23.0814341634, 45.5857512766,,,,31378
259,2010,Tabouk,27.90165499, 37.2598581394,,,,10345
260,2011,Al-Baha,20.1484058503, 41.4665484892,,,,6450
261,2011,Al-Jouf,29.9677445762, 39.5570371172,,,,10180
262,2011,Al-Qaseem,26.1967063704, 43.3429998455,,,,10760
263,2011,Assir,19.1387847401, 42.941470036,,,,24515
264,2011,Eastern,23.2883307307, 50.1478302439,,,,151087
265,2011,Hail,27.400845724, 41.4406960508,,,,9123
266,2011,Jazan,17.2072313962, 42.6525807422,,,,10946
267,2011,Madinah,24.927534539, 39.4918237173,,,,14630
268,2011,Makkah,21.628962766, 41.2636898334,,,,110647
269,2011,Najran,18.4511003068, 46.8688495726,,,,7314
270,2011,Northern Boarder,30.197074783, 41.8171186952,,,,4314
271,2011,Riyadh,23.0814341634, 45.5857512766,,,,27772
272,2011,Tabouk,27.90165499, 37.2598581394,,,,12820
273,2012,Al-Baha,20.1484058503, 41.4665484892,,,,7593
274,2012,Al-Jouf,29.9677445762, 39.5570371172,,,,10246
275,2012,Al-Qaseem,26.1967063704, 43.3429998455,,,,11421
276,2012,Assir,19.1387847401, 42.941470036,,,,23136
277,2012,Eastern,23.2883307307, 50.1478302439,,,,129971
278,2012,Hail,27.400845724, 41.4406960508,,,,11082
279,2012,Jazan,17.2072313962, 42.6525807422,,,,11156
280,2012,Madinah,24.927534539, 39.4918237173,,,,14459
281,2012,Makkah,21.628962766, 41.2636898334,,,,143954
282,2012,Najran,18.4511003068, 46.8688495726,,,,9201
283,2012,Northern Boarder,30.197074783, 41.8171186952,,,,3706
284,2012,Riyadh,23.0814341634, 45.5857512766,,,,23888
285,2012,Tabouk,27.90165499, 37.2598581394,,,,11391
286,2013,Al-Baha,20.1484058503, 41.4665484892,,,,7482
287,2013,Al-Jouf,29.9677445762, 39.5570371172,,,,11602
288,2013,Al-Qaseem,26.1967063704, 43.3429998455,,,,17889
289,2013,Assir,19.1387847401, 42.941470036,,,,29730
290,2013,Eastern,23.2883307307, 50.1478302439,,,,123325
291,2013,Hail,27.400845724, 41.4406960508,,,,9731
292,2013,Jazan,17.2072313962, 42.6525807422,,,,14175
293,2013,Madinah,24.927534539, 39.4918237173,,,,28513
294,2013,Makkah,21.628962766, 41.2636898334,,,,131108
295,2013,Najran,18.4511003068, 46.8688495726,,,,8996
296,2013,Northern Boarder,30.197074783, 41.8171186952,,,,3921
297,2013,Riyadh,23.0814341634, 45.5857512766,,,,165994
298,2013,Tabouk,27.90165499, 37.2598581394,,,,12848
299,2014,Al-Baha,20.1484058503, 41.4665484892,,,,7268
300,2014,Al-Jouf,29.9677445762, 39.5570371172,,,,9982
301,2014,Al-Qaseem,26.1967063704, 43.3429998455,,,,29113
302,2014,Assir,19.1387847401, 42.941470036,,,,29552
303,2014,Eastern,23.2883307307, 50.1478302439,,,,121774
304,2014,Hail,27.400845724, 41.4406960508,,,,10417
305,2014,Jazan,17.2072313962, 42.6525807422,,,,15621
306,2014,Madinah,24.927534539, 39.4918237173,,,,31447
307,2014,Makkah,21.628962766, 41.2636898334,,,,149234
308,2014,Najran,18.4511003068, 46.8688495726,,,,9601
309,2014,Northern Boarder,30.197074783, 41.8171186952,,,,5009
310,2014,Riyadh,23.0814341634, 45.5857512766,,,,194208
311,2014,Tabouk,27.90165499, 37.2598581394,,,,12188
312,2015,Al-Baha,20.1484058503, 41.4665484892,,,,4856
313,2015,Al-Jouf,29.9677445762, 39.5570371172,,,,10233
314,2015,Al-Qaseem,26.1967063704, 43.3429998455,,,,13631
315,2015,Assir,19.1387847401, 42.941470036,,,,38567
316,2015,Eastern,23.2883307307, 50.1478302439,,,,135752
317,2015,Hail,27.400845724, 41.4406960508,,,,7172
318,2015,Jazan,17.2072313962, 42.6525807422,,,,13931
319,2015,Madinah,24.927534539, 39.4918237173,,,,22744
320,2015,Makkah,21.628962766, 41.2636898334,,,,157389
321,2015,Najran,18.4511003068, 46.8688495726,,,,1864
322,2015,Northern Boarder,30.197074783, 41.8171186952,,,,3837
323,2015,Riyadh,23.0814341634, 45.5857512766,,,,24548
324,2015,Tabouk,27.90165499, 37.2598581394,,,,915
